timer                                            ms      calls
RELAX_ITERATOR_SINKS                              0          1
HBM_EQUALSORHASHCODE                              0          1
HBM_MAYSETID                                      0          1
RELAX_ORM_LOAD                                    0          1
RELAX_NOTHING                                     0          1
RELAX_PARAM_NAMES                                 0          1
RELAX_BENIGN_CLOSURE                              0          1
RELAX_SIDE_EFFECT_FREE                            0          1
DUMMY_DERIVER_STACK_USE                           0          1
CHECKED_RETURN_STAT                               0          1
CALL_SUPER_STAT                                   0          1
BAD_LOCK_OBJECT_LOCK_SOURCE_STAT                  0          1
NON_STATIC_GUARDING_STATIC_STAT                   0          1
VOLATILE_ATOMICITY_STAT                           0         21
sequential initialization                      8519          1
Looking for translation units                     1          1
Computing links for translation units          3872          1
xfer symbol cache                               584          1
Computing virtual overrides                    1579          1
computing RTA                                   943          1
Computing callgraph                             178          1
Topologically sorting functions                   4          1
Computing node costs                              2          1
Analysis run                                   2079          1
loadFromEmit                                     26         60
